,chembl_compound,uniprot_id,drugbankId
3754,CHEMBL.COMPOUND:CHEMBL14762,UniProtKB:P50750,DB06195
3755,CHEMBL.COMPOUND:CHEMBL14762,UniProtKB:Q00535,DB06195
3756,CHEMBL.COMPOUND:CHEMBL14762,UniProtKB:P24941,DB06195
3757,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:P48736,DB12108
3758,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:P42336,DB12108
3759,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:Q92569,DB12108
3760,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:Q8WYR1,DB12108
3761,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:O00459,DB12108
3762,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:P42338,DB12108
3763,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:P27986,DB12108
3764,CHEMBL.COMPOUND:CHEMBL2387080,UniProtKB:O00329,DB12108
3765,CHEMBL.COMPOUND:CHEMBL304087,UniProtKB:P20839,DB04862
3766,CHEMBL.COMPOUND:CHEMBL188952,UniProtKB:P35354,DB13722
3767,CHEMBL.COMPOUND:CHEMBL188952,UniProtKB:P23219,DB13722
3768,CHEMBL.COMPOUND:CHEMBL3187503,UniProtKB:Q8TDV5,DB12627
3769,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:P14867,DB00842
3770,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:P47869,DB00842
3771,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:P31644,DB00842
3772,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:Q99928,DB00842
3773,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:P18507,DB00842
3774,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:Q8N1C3,DB00842
3775,CHEMBL.COMPOUND:CHEMBL568,UniProtKB:P34903,DB00842
3776,CHEMBL.COMPOUND:CHEMBL443684,UniProtKB:Q92843,DB12340
3777,CHEMBL.COMPOUND:CHEMBL443684,UniProtKB:P10415,DB12340
3778,CHEMBL.COMPOUND:CHEMBL443684,UniProtKB:Q07817,DB12340
3779,CHEMBL.COMPOUND:CHEMBL240597,UniProtKB:Q96RI1,DB06777
3780,CHEMBL.COMPOUND:CHEMBL297302,UniProtKB:P14416,DB12867
3781,CHEMBL.COMPOUND:CHEMBL405,UniProtKB:Q01959,DB00182
3782,CHEMBL.COMPOUND:CHEMBL405,UniProtKB:P23975,DB00182
3783,CHEMBL.COMPOUND:CHEMBL3348963,UniProtKB:Q8IWU9,
3784,CHEMBL.COMPOUND:CHEMBL3348963,UniProtKB:P17752,
